,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Oct 24, 2023",33089.64,33272.19,32988.43,33141.38,33141.38,359230000
1,"Oct 23, 2023",32993.02,33234.85,32892.19,32936.41,32936.41,342500000
2,"Oct 20, 2023",33365.27,33425.77,33118.12,33127.28,33127.28,325530000
3,"Oct 19, 2023",33669.52,33852.39,33368.58,33414.17,33414.17,304320000
4,"Oct 18, 2023",33960.25,33991.51,33598.64,33665.08,33665.08,285410000
5,"Oct 17, 2023",33869.84,34147.63,33854.7,33997.65,33997.65,281010000
6,"Oct 16, 2023",33832.42,34088.98,33832.42,33984.54,33984.54,270060000
7,"Oct 13, 2023",33733.34,33957.72,33551.58,33670.29,33670.29,306340000
8,"Oct 12, 2023",33845.65,33863.8,33455.6,33631.14,33631.14,289160000
9,"Oct 11, 2023",33822.2,33882.55,33612.25,33804.87,33804.87,256560000
10,"Oct 10, 2023",33683.41,33898.22,33604.32,33739.3,33739.3,255640000
11,"Oct 09, 2023",33259.84,33631.81,33253.69,33604.65,33604.65,228760000
12,"Oct 06, 2023",33040.7,33557.69,32846.94,33407.58,33407.58,332990000
13,"Oct 05, 2023",33099.23,33174.38,32941.56,33119.57,33119.57,277250000
14,"Oct 04, 2023",33034.18,33156.45,32873.23,33129.55,33129.55,287030000
15,"Oct 03, 2023",33318.84,33398.54,32916.2,33002.38,33002.38,293450000
16,"Oct 02, 2023",33455.5,33511.91,33219.56,33433.35,33433.35,275630000
17,"Sep 29, 2023",33882.61,33893.68,33407.45,33507.5,33507.5,319830000
18,"Sep 28, 2023",33519.44,33777.9,33473.5,33666.34,33666.34,275610000
19,"Sep 27, 2023",33682.81,33731.65,33306.3,33550.27,33550.27,300330000
20,"Sep 26, 2023",33862.68,33879.93,33569.6,33618.88,33618.88,280100000
21,"Sep 25, 2023",33907.59,34017.53,33780.67,34006.88,34006.88,229450000
22,"Sep 22, 2023",34077.08,34156.15,33947.24,33963.84,33963.84,268760000
23,"Sep 21, 2023",34332.23,34378.3,34058.72,34070.42,34070.42,331930000
24,"Sep 20, 2023",34575.5,34776.28,34434.29,34440.88,34440.88,291650000
25,"Sep 19, 2023",34571.84,34597.56,34311.69,34517.73,34517.73,282830000
26,"Sep 18, 2023",34612.29,34725.06,34545.35,34624.3,34624.3,252700000
27,"Sep 15, 2023",34902.04,34902.04,34572.27,34618.24,34618.24,582160000
28,"Sep 14, 2023",34687.5,34977.97,34687.5,34907.11,34907.11,305180000
