Date,bond_price,Change %
"Dec 26, 2006",7.761,2.24%
"Dec 27, 2006",7.765,0.05%
"Dec 28, 2006",7.76,-0.06%
"Dec 29, 2006",7.785,0.32%
"Jan 02, 2007",7.669,-1.49%
"Jan 03, 2007",7.679,0.13%
"Jan 04, 2007",7.707,0.36%
"Jan 05, 2007",7.691,-0.21%
"Jan 08, 2007",7.653,-0.49%
"Jan 09, 2007",7.67,0.22%
"Jan 10, 2007",7.682,0.16%
"Jan 11, 2007",7.699,0.22%
"Jan 12, 2007",8.211,6.65%
"Jan 15, 2007",8.127,-1.02%
"Jan 16, 2007",8.109,-0.22%
"Jan 17, 2007",8.157,0.59%
"Jan 18, 2007",8.166,0.11%
"Jan 19, 2007",8.153,-0.16%
"Jan 22, 2007",8.242,1.09%
"Jan 23, 2007",8.22,-0.27%
"Jan 24, 2007",8.197,-0.28%
"Jan 25, 2007",8.22,0.28%
"Jan 29, 2007",8.244,0.29%
"Jan 31, 2007",8.128,-1.41%
"Feb 02, 2007",8.026,-1.25%
"Feb 05, 2007",7.987,-0.49%
"Feb 06, 2007",8.028,0.51%
"Feb 07, 2007",8.025,-0.04%
"Feb 08, 2007",8.091,0.82%
"Feb 09, 2007",8.113,0.27%
"Feb 12, 2007",8.135,0.27%
"Feb 13, 2007",8.184,0.60%
"Feb 14, 2007",8.301,1.43%
"Feb 15, 2007",8.264,-0.45%
"Feb 19, 2007",8.255,-0.11%
"Feb 20, 2007",8.233,-0.27%
"Feb 21, 2007",8.161,-0.87%
"Feb 22, 2007",8.179,0.22%
"Feb 23, 2007",8.165,-0.17%
"Feb 26, 2007",8.123,-0.51%
"Feb 27, 2007",8.143,0.25%
"Feb 28, 2007",8.188,0.55%
"Mar 01, 2007",8.174,-0.17%
"Mar 02, 2007",8.197,0.28%
"Mar 05, 2007",8.237,0.49%
"Mar 06, 2007",8.251,0.17%
"Mar 07, 2007",8.26,0.11%
"Mar 08, 2007",8.282,0.27%
"Mar 09, 2007",8.333,0.62%
"Mar 12, 2007",8.264,-0.83%
"Mar 13, 2007",8.31,0.56%
"Mar 14, 2007",8.296,-0.17%
"Mar 15, 2007",8.333,0.45%
"Mar 16, 2007",8.342,0.11%
"Mar 20, 2007",8.365,0.28%
"Mar 21, 2007",8.36,-0.06%
"Mar 22, 2007",8.269,-1.09%
"Mar 23, 2007",8.264,-0.06%
"Mar 26, 2007",8.319,0.67%
"Mar 28, 2007",8.337,0.22%
"Mar 29, 2007",8.314,-0.28%
"Mar 30, 2007",8.337,0.28%
"Apr 03, 2007",8.486,1.79%
"Apr 04, 2007",8.486,0.00%
"Apr 05, 2007",8.548,0.73%
"Apr 09, 2007",8.52,-0.33%
"Apr 10, 2007",8.447,-0.86%
"Apr 11, 2007",8.482,0.41%
"Apr 12, 2007",8.558,0.90%
"Apr 13, 2007",8.563,0.06%
"Apr 16, 2007",8.563,0.00%
"Apr 17, 2007",8.562,-0.01%
"Apr 18, 2007",8.506,-0.65%
"Apr 19, 2007",8.487,-0.22%
"Apr 20, 2007",8.491,0.05%
"Apr 23, 2007",8.496,0.06%
"Apr 24, 2007",8.361,-1.59%
"Apr 25, 2007",8.336,-0.30%
"Apr 26, 2007",8.407,0.85%
"Apr 27, 2007",8.449,0.50%
"Apr 30, 2007",8.487,0.45%
"May 03, 2007",8.506,0.22%
"May 04, 2007",8.52,0.16%
"May 07, 2007",8.549,0.34%
"May 08, 2007",8.535,-0.16%
"May 09, 2007",8.511,-0.28%
